epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0972,1.36359,1.21153,0.88754,0.6749,0.47136,0.48511,0.26684,1.29349,0.9977,0.86314,0.000411111,0.000411111,0.000411111
2,80.7879,1.25322,0.84189,0.8678,0.44008,0.6007,0.43151,0.22471,1.33119,1.38816,0.86131,0.000811388,0.000811388,0.000811388
3,120.19,1.33143,0.95815,0.86536,0.70595,0.59003,0.60894,0.33609,1.28051,0.78295,0.85656,0.00119516,0.00119516,0.00119516
4,159.795,1.27529,0.84432,0.86775,0.68889,0.57366,0.63736,0.3663,1.21529,0.8058,0.86109,0.00117575,0.00117575,0.00117575
5,198.779,1.19926,0.74893,0.85507,0.75277,0.49213,0.581,0.32472,1.25131,0.74485,0.85595,0.001151,0.001151,0.001151
6,237.596,1.18346,0.70453,0.85157,0.77715,0.64967,0.65216,0.38398,1.20783,0.72292,0.85208,0.00112625,0.00112625,0.00112625
7,276.545,1.16027,0.70518,0.84339,0.76472,0.66396,0.72019,0.42807,1.178,0.63536,0.84702,0.0011015,0.0011015,0.0011015
8,315.517,1.13896,0.64457,0.84035,0.83459,0.64835,0.71377,0.40954,1.16971,0.62385,0.84711,0.00107675,0.00107675,0.00107675
9,354.225,1.15193,0.65214,0.83526,0.78334,0.64892,0.71618,0.44234,1.07642,0.61159,0.8446,0.001052,0.001052,0.001052
10,393.126,1.05906,0.60033,0.83486,0.77045,0.6936,0.7266,0.45741,1.07458,0.58559,0.84142,0.00102725,0.00102725,0.00102725
11,432.241,1.06952,0.58066,0.83605,0.75361,0.71527,0.71138,0.44118,1.05473,0.56063,0.83914,0.0010025,0.0010025,0.0010025
12,472.182,1.05373,0.55781,0.82746,0.76947,0.70218,0.7434,0.42133,1.12792,0.58242,0.84475,0.00097775,0.00097775,0.00097775
13,511.759,1.05048,0.55241,0.82637,0.78549,0.70571,0.74508,0.4608,1.06918,0.55331,0.83596,0.000953,0.000953,0.000953
14,551.613,1.04908,0.53646,0.82565,0.81541,0.59434,0.70926,0.43212,1.08769,0.55937,0.84048,0.00092825,0.00092825,0.00092825
15,591.338,1.02733,0.53294,0.82272,0.8371,0.73682,0.77667,0.48262,1.03439,0.52359,0.83268,0.0009035,0.0009035,0.0009035
16,630.83,0.99648,0.50992,0.81855,0.8731,0.74217,0.78017,0.48786,1.03385,0.51459,0.83331,0.00087875,0.00087875,0.00087875
17,670.327,1.01979,0.52016,0.82063,0.80978,0.743,0.76571,0.48636,0.99929,0.52792,0.83142,0.000854,0.000854,0.000854
18,709.922,0.99434,0.509,0.8172,0.85788,0.67056,0.75163,0.47645,0.99949,0.55001,0.82832,0.00082925,0.00082925,0.00082925
19,749.743,0.95909,0.49763,0.8179,0.90606,0.69762,0.78532,0.49808,1.03027,0.50967,0.83134,0.0008045,0.0008045,0.0008045
20,790.524,0.9788,0.4939,0.81803,0.87139,0.72649,0.78143,0.49204,1.01012,0.49033,0.83301,0.00077975,0.00077975,0.00077975
21,830.991,0.985,0.49433,0.82115,0.89554,0.70816,0.78163,0.49211,1.01516,0.50312,0.83359,0.000755,0.000755,0.000755
22,947.431,0.98589,0.49312,0.81511,0.80829,0.73687,0.77054,0.49932,1.00425,0.50473,0.83463,0.00073025,0.00073025,0.00073025
23,1027.13,0.97943,0.49492,0.81674,0.79817,0.73632,0.77905,0.49347,1.01126,0.51602,0.83431,0.0007055,0.0007055,0.0007055
24,1067.17,1.01366,0.50277,0.82102,0.79408,0.6961,0.75606,0.46151,1.12157,0.52991,0.83644,0.00068075,0.00068075,0.00068075
25,1106.48,1.00052,0.50102,0.81688,0.84892,0.72838,0.79442,0.50503,1.01342,0.50103,0.83207,0.000656,0.000656,0.000656
26,1145.82,0.98091,0.48194,0.81926,0.85459,0.72239,0.78366,0.50677,1.00204,0.48538,0.83161,0.00063125,0.00063125,0.00063125
27,1184.54,0.94408,0.45921,0.81584,0.78522,0.75098,0.77138,0.50691,0.96927,0.48918,0.82649,0.0006065,0.0006065,0.0006065
28,1223.15,0.92769,0.45345,0.8152,0.87444,0.72349,0.78465,0.50135,0.97096,0.48063,0.82864,0.00058175,0.00058175,0.00058175
29,1261.84,0.9333,0.46796,0.8116,0.82192,0.71531,0.76265,0.49382,0.95996,0.48767,0.82432,0.000557,0.000557,0.000557
