player_id,team_id,total_xt,actions_count,xt_per_action
Lorenzo Insigne,Italy,0.2918,117,0.0025
Domenico Berardi,Italy,0.1967,90,0.0022
Leonardo Spinazzola,Italy,0.1376,125,0.0011
Alessandro Florenzi,Italy,0.1344,87,0.0015
Manuel Locatelli,Italy,0.1046,98,0.0011
Nicolò Barella,Italy,0.096,127,0.0008
Mehmet Zeki Çelik,Turkey,0.0876,68,0.0013
Giovanni Di Lorenzo,Italy,0.0816,54,0.0015
Uğurcan Çakır,Turkey,0.0789,61,0.0013
Jorge Luiz Frello Filho,Italy,0.0659,151,0.0004
Giorgio Chiellini,Italy,0.058,146,0.0004
Federico Bernardeschi,Italy,0.0558,10,0.0056
Hakan Çalhanoğlu,Turkey,0.0475,65,0.0007
Cengiz Ünder,Turkey,0.0413,25,0.0017
Burak Yılmaz,Turkey,0.0375,25,0.0015
